Picture,DistortionType,DistortionValue,Filename,Method,Value
Degus,Blur,0.0,Degus_blur_0.bmp,LPIPS,0.0
Degus,Blur,0.0,Degus_blur_0.bmp,SSIM,1.0
Degus,Blur,0.0,Degus_blur_0.bmp,PSNR,inf
Degus,Blur,1.0,Degus_blur_1.png,LPIPS,0.0008870666497386992
Degus,Blur,1.0,Degus_blur_1.png,SSIM,0.8976294034994378
Degus,Blur,1.0,Degus_blur_1.png,PSNR,31.593430904019492
Degus,Blur,10.0,Degus_blur_10.png,LPIPS,0.3655588626861572
Degus,Blur,10.0,Degus_blur_10.png,SSIM,0.47813042066373335
Degus,Blur,10.0,Degus_blur_10.png,PSNR,22.35733289601708
Degus,Blur,100.0,Degus_blur_100.png,LPIPS,0.7914465665817261
Degus,Blur,100.0,Degus_blur_100.png,SSIM,0.43139336468306805
Degus,Blur,100.0,Degus_blur_100.png,PSNR,19.53934635995993
Degus,Blur,100.0,Degus_blur_100_0.png,LPIPS,0.7914465665817261
Degus,Blur,100.0,Degus_blur_100_0.png,SSIM,0.43139336468306805
Degus,Blur,100.0,Degus_blur_100_0.png,PSNR,19.53934635995993
Degus,Blur,10.0,Degus_blur_10_0.png,LPIPS,0.3655588626861572
Degus,Blur,10.0,Degus_blur_10_0.png,SSIM,0.47813042066373335
Degus,Blur,10.0,Degus_blur_10_0.png,PSNR,22.35733289601708
Degus,Blur,15.0,Degus_blur_15.png,LPIPS,0.4629708230495453
Degus,Blur,15.0,Degus_blur_15.png,SSIM,0.4678212525937829
Degus,Blur,15.0,Degus_blur_15.png,PSNR,21.98607936928784
Degus,Blur,1.0,Degus_blur_1_0.png,LPIPS,0.0008870666497386992
Degus,Blur,1.0,Degus_blur_1_0.png,SSIM,0.8976294034994378
Degus,Blur,1.0,Degus_blur_1_0.png,PSNR,31.593430904019492
Degus,Blur,2.0,Degus_blur_2.png,LPIPS,0.011516529135406017
Degus,Blur,2.0,Degus_blur_2.png,SSIM,0.7464330110919467
Degus,Blur,2.0,Degus_blur_2.png,PSNR,26.939387811778527
Degus,Blur,20.0,Degus_blur_20.png,LPIPS,0.5151141881942749
Degus,Blur,20.0,Degus_blur_20.png,SSIM,0.4623616737454433
Degus,Blur,20.0,Degus_blur_20.png,PSNR,21.71891997480927
Degus,Blur,2.0,Degus_blur_2_0.png,LPIPS,0.011516529135406017
Degus,Blur,2.0,Degus_blur_2_0.png,SSIM,0.7464330110919467
Degus,Blur,2.0,Degus_blur_2_0.png,PSNR,26.939387811778527
Degus,Blur,30.0,Degus_blur_30.png,LPIPS,0.6037294268608093
Degus,Blur,30.0,Degus_blur_30.png,SSIM,0.45420223753141115
Degus,Blur,30.0,Degus_blur_30.png,PSNR,21.280077253577076
Degus,Blur,40.0,Degus_blur_40.png,LPIPS,0.6681780815124512
Degus,Blur,40.0,Degus_blur_40.png,SSIM,0.4483622560651182
Degus,Blur,40.0,Degus_blur_40.png,PSNR,20.924390615388543
