Picture,DistortionType,DistortionValue,Filename,Metric,Method,Value
Degus,Hole,0.0,Degus_hole_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Hole,0.0,Degus_hole_0.bmp,PSNR,PSNR_skimage,inf
Degus,Hole,0.0,Degus_hole_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Hole,0.0,Degus_hole_0.bmp,VIF,VIF_Torch,1.0
Degus,Hole,0.01,Degus_hole_0_01.png,LPIPS,LPIPS_lpips,0.0014925081050023437
Degus,Hole,0.01,Degus_hole_0_01.png,SSIM,SSIM_skimage,0.999686122876859
Degus,Hole,0.01,Degus_hole_0_01.png,PSNR,PSNR_skimage,46.90193995333391
Degus,Hole,0.01,Degus_hole_0_01.png,UIQI,UIQI_torch,0.9864
Degus,Hole,0.01,Degus_hole_0_01.png,VIF,VIF_Torch,0.9988
Degus,Hole,0.05,Degus_hole_0_05.png,LPIPS,LPIPS_lpips,0.02010614052414894
Degus,Hole,0.05,Degus_hole_0_05.png,SSIM,SSIM_skimage,0.9932626284401528
Degus,Hole,0.05,Degus_hole_0_05.png,PSNR,PSNR_skimage,32.556712233439626
Degus,Hole,0.05,Degus_hole_0_05.png,UIQI,UIQI_torch,0.98
Degus,Hole,0.05,Degus_hole_0_05.png,VIF,VIF_Torch,0.9947
Degus,Hole,0.1,Degus_hole_0_1.png,LPIPS,LPIPS_lpips,0.041874922811985016
Degus,Hole,0.1,Degus_hole_0_1.png,SSIM,SSIM_skimage,0.9739447286782563
Degus,Hole,0.1,Degus_hole_0_1.png,PSNR,PSNR_skimage,27.07076375551892
Degus,Hole,0.1,Degus_hole_0_1.png,UIQI,UIQI_torch,0.9599
Degus,Hole,0.1,Degus_hole_0_1.png,VIF,VIF_Torch,0.991
Degus,Hole,0.15,Degus_hole_0_15.png,LPIPS,LPIPS_lpips,0.06649446487426758
Degus,Hole,0.15,Degus_hole_0_15.png,SSIM,SSIM_skimage,0.9437171479924825
Degus,Hole,0.15,Degus_hole_0_15.png,PSNR,PSNR_skimage,23.957045392167093
Degus,Hole,0.15,Degus_hole_0_15.png,UIQI,UIQI_torch,0.9269
Degus,Hole,0.15,Degus_hole_0_15.png,VIF,VIF_Torch,0.9891
Degus,Hole,0.2,Degus_hole_0_2.png,LPIPS,LPIPS_lpips,0.09791260957717896
Degus,Hole,0.2,Degus_hole_0_2.png,SSIM,SSIM_skimage,0.9002698745767092
Degus,Hole,0.2,Degus_hole_0_2.png,PSNR,PSNR_skimage,21.930665304841042
Degus,Hole,0.2,Degus_hole_0_2.png,UIQI,UIQI_torch,0.8803
Degus,Hole,0.2,Degus_hole_0_2.png,VIF,VIF_Torch,0.9835
Degus,Hole,0.3,Degus_hole_0_3.png,LPIPS,LPIPS_lpips,0.2438248246908188
Degus,Hole,0.3,Degus_hole_0_3.png,SSIM,SSIM_skimage,0.7726991986188038
Degus,Hole,0.3,Degus_hole_0_3.png,PSNR,PSNR_skimage,17.183647461359083
Degus,Hole,0.3,Degus_hole_0_3.png,UIQI,UIQI_torch,0.7475
Degus,Hole,0.3,Degus_hole_0_3.png,VIF,VIF_Torch,0.9469
Degus,Hole,0.4,Degus_hole_0_4.png,LPIPS,LPIPS_lpips,0.4416280686855316
Degus,Hole,0.4,Degus_hole_0_4.png,SSIM,SSIM_skimage,0.5909207423871464
Degus,Hole,0.4,Degus_hole_0_4.png,PSNR,PSNR_skimage,13.691764730427515
Degus,Hole,0.4,Degus_hole_0_4.png,UIQI,UIQI_torch,0.5629
Degus,Hole,0.4,Degus_hole_0_4.png,VIF,VIF_Torch,0.9055
Degus,Noise,0.0,Degus_noise_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Noise,0.0,Degus_noise_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Noise,0.0,Degus_noise_0.bmp,PSNR,PSNR_skimage,inf
Degus,Noise,0.0,Degus_noise_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Noise,0.0,Degus_noise_0.bmp,VIF,VIF_Torch,1.0
Degus,Noise,1.0,Degus_noise_1.png,LPIPS,LPIPS_lpips,0.00012571286060847342
Degus,Noise,1.0,Degus_noise_1.png,SSIM,SSIM_skimage,0.9928603222853557
Degus,Noise,1.0,Degus_noise_1.png,PSNR,PSNR_skimage,46.97703977690413
Degus,Noise,1.0,Degus_noise_1.png,UIQI,UIQI_torch,0.9447
Degus,Noise,1.0,Degus_noise_1.png,VIF,VIF_Torch,0.9959
Degus,Noise,10.0,Degus_noise_10.png,LPIPS,LPIPS_lpips,0.002011410892009735
Degus,Noise,10.0,Degus_noise_10.png,SSIM,SSIM_skimage,0.68462446469302
Degus,Noise,10.0,Degus_noise_10.png,PSNR,PSNR_skimage,28.321721571570965
Degus,Noise,10.0,Degus_noise_10.png,UIQI,UIQI_torch,0.5163
Degus,Noise,10.0,Degus_noise_10.png,VIF,VIF_Torch,0.6939
Degus,Noise,2.0,Degus_noise_2.png,LPIPS,LPIPS_lpips,0.0001525529514765367
Degus,Noise,2.0,Degus_noise_2.png,SSIM,SSIM_skimage,0.9747317910454298
Degus,Noise,2.0,Degus_noise_2.png,PSNR,PSNR_skimage,41.86686362476082
Degus,Noise,2.0,Degus_noise_2.png,UIQI,UIQI_torch,0.8761
Degus,Noise,2.0,Degus_noise_2.png,VIF,VIF_Torch,0.9822
Degus,Noise,20.0,Degus_noise_20.png,LPIPS,LPIPS_lpips,0.012297406792640686
Degus,Noise,20.0,Degus_noise_20.png,SSIM,SSIM_skimage,0.43885585496702856
Degus,Noise,20.0,Degus_noise_20.png,PSNR,PSNR_skimage,22.472415224062495
Degus,Noise,20.0,Degus_noise_20.png,UIQI,UIQI_torch,0.324
Degus,Noise,20.0,Degus_noise_20.png,VIF,VIF_Torch,0.339
Degus,Noise,35.0,Degus_noise_35.png,LPIPS,LPIPS_lpips,0.038566574454307556
Degus,Noise,35.0,Degus_noise_35.png,SSIM,SSIM_skimage,0.2586074874878157
Degus,Noise,35.0,Degus_noise_35.png,PSNR,PSNR_skimage,17.948906613579275
Degus,Noise,35.0,Degus_noise_35.png,UIQI,UIQI_torch,0.182
Degus,Noise,35.0,Degus_noise_35.png,VIF,VIF_Torch,0.1182
Degus,Noise,5.0,Degus_noise_5.png,LPIPS,LPIPS_lpips,0.00045685519580729306
Degus,Noise,5.0,Degus_noise_5.png,SSIM,SSIM_skimage,0.8741764126212063
Degus,Noise,5.0,Degus_noise_5.png,PSNR,PSNR_skimage,34.233028083620994
Degus,Noise,5.0,Degus_noise_5.png,UIQI,UIQI_torch,0.6939
Degus,Noise,5.0,Degus_noise_5.png,VIF,VIF_Torch,0.9002
Degus,Noise,50.0,Degus_noise_50.png,LPIPS,LPIPS_lpips,0.07257282733917236
Degus,Noise,50.0,Degus_noise_50.png,SSIM,SSIM_skimage,0.1685894981166415
Degus,Noise,50.0,Degus_noise_50.png,PSNR,PSNR_skimage,15.215892239785555
Degus,Noise,50.0,Degus_noise_50.png,UIQI,UIQI_torch,0.113
Degus,Noise,50.0,Degus_noise_50.png,VIF,VIF_Torch,0.0506
Degus,Rotate,0.0,Degus_rotate_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Rotate,0.0,Degus_rotate_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Rotate,0.0,Degus_rotate_0.bmp,PSNR,PSNR_skimage,inf
Degus,Rotate,0.0,Degus_rotate_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Rotate,0.0,Degus_rotate_0.bmp,VIF,VIF_Torch,1.0
Degus,Rotate,1.0,Degus_rotate_1.png,LPIPS,LPIPS_lpips,0.0770631730556488
Degus,Rotate,1.0,Degus_rotate_1.png,SSIM,SSIM_skimage,0.39776217483602117
Degus,Rotate,1.0,Degus_rotate_1.png,PSNR,PSNR_skimage,18.661509939764127
Degus,Rotate,1.0,Degus_rotate_1.png,UIQI,UIQI_torch,0.0206
Degus,Rotate,1.0,Degus_rotate_1.png,VIF,VIF_Torch,0.0813
Degus,Rotate,10.0,Degus_rotate_10.png,LPIPS,LPIPS_lpips,0.3234696090221405
Degus,Rotate,10.0,Degus_rotate_10.png,SSIM,SSIM_skimage,0.3084471711663765
Degus,Rotate,10.0,Degus_rotate_10.png,PSNR,PSNR_skimage,14.126668256100302
Degus,Rotate,10.0,Degus_rotate_10.png,UIQI,UIQI_torch,0.0027
Degus,Rotate,10.0,Degus_rotate_10.png,VIF,VIF_Torch,0.0456
Degus,Rotate,15.0,Degus_rotate_15.png,LPIPS,LPIPS_lpips,0.4220539927482605
Degus,Rotate,15.0,Degus_rotate_15.png,SSIM,SSIM_skimage,0.28387753556525336
Degus,Rotate,15.0,Degus_rotate_15.png,PSNR,PSNR_skimage,13.107764878146845
Degus,Rotate,15.0,Degus_rotate_15.png,UIQI,UIQI_torch,0.0022
Degus,Rotate,15.0,Degus_rotate_15.png,VIF,VIF_Torch,0.0428
Degus,Rotate,2.0,Degus_rotate_2.png,LPIPS,LPIPS_lpips,0.11006685346364975
Degus,Rotate,2.0,Degus_rotate_2.png,SSIM,SSIM_skimage,0.3738597037463401
Degus,Rotate,2.0,Degus_rotate_2.png,PSNR,PSNR_skimage,17.624672597552028
Degus,Rotate,2.0,Degus_rotate_2.png,UIQI,UIQI_torch,0.0111
Degus,Rotate,2.0,Degus_rotate_2.png,VIF,VIF_Torch,0.0608
Degus,Rotate,20.0,Degus_rotate_20.png,LPIPS,LPIPS_lpips,0.49122154712677
Degus,Rotate,20.0,Degus_rotate_20.png,SSIM,SSIM_skimage,0.2637205742407824
Degus,Rotate,20.0,Degus_rotate_20.png,PSNR,PSNR_skimage,12.396414980518884
Degus,Rotate,20.0,Degus_rotate_20.png,UIQI,UIQI_torch,0.0023
Degus,Rotate,20.0,Degus_rotate_20.png,VIF,VIF_Torch,0.0418
Degus,Rotate,3.0,Degus_rotate_3.png,LPIPS,LPIPS_lpips,0.14546021819114685
Degus,Rotate,3.0,Degus_rotate_3.png,SSIM,SSIM_skimage,0.36088842454230585
Degus,Rotate,3.0,Degus_rotate_3.png,PSNR,PSNR_skimage,16.887450267401142
Degus,Rotate,3.0,Degus_rotate_3.png,UIQI,UIQI_torch,0.008
Degus,Rotate,3.0,Degus_rotate_3.png,VIF,VIF_Torch,0.0551
Degus,Rotate,35.0,Degus_rotate_35.png,LPIPS,LPIPS_lpips,0.6181972622871399
Degus,Rotate,35.0,Degus_rotate_35.png,SSIM,SSIM_skimage,0.21594455441844848
Degus,Rotate,35.0,Degus_rotate_35.png,PSNR,PSNR_skimage,11.12522602086407
Degus,Rotate,35.0,Degus_rotate_35.png,UIQI,UIQI_torch,0.0017
Degus,Rotate,35.0,Degus_rotate_35.png,VIF,VIF_Torch,0.0353
Degus,Rotate,5.0,Degus_rotate_5.png,LPIPS,LPIPS_lpips,0.19764938950538635
Degus,Rotate,5.0,Degus_rotate_5.png,SSIM,SSIM_skimage,0.3424324418419953
Degus,Rotate,5.0,Degus_rotate_5.png,PSNR,PSNR_skimage,15.813877269208238
Degus,Rotate,5.0,Degus_rotate_5.png,UIQI,UIQI_torch,0.0065
Degus,Rotate,5.0,Degus_rotate_5.png,VIF,VIF_Torch,0.0511
Degus,Saturation,0.0,Degus_saturation_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Saturation,0.0,Degus_saturation_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Saturation,0.0,Degus_saturation_0.bmp,PSNR,PSNR_skimage,inf
Degus,Saturation,0.0,Degus_saturation_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Saturation,0.0,Degus_saturation_0.bmp,VIF,VIF_Torch,1.0
Degus,Saturation,1.05,Degus_saturation_1_05.png,LPIPS,LPIPS_lpips,0.005892699584364891
Degus,Saturation,1.05,Degus_saturation_1_05.png,SSIM,SSIM_skimage,0.9906332957484357
Degus,Saturation,1.05,Degus_saturation_1_05.png,PSNR,PSNR_skimage,34.75628394151856
Degus,Saturation,1.05,Degus_saturation_1_05.png,UIQI,UIQI_torch,0.9709
Degus,Saturation,1.05,Degus_saturation_1_05.png,VIF,VIF_Torch,0.99
Degus,Saturation,1.1,Degus_saturation_1_1.png,LPIPS,LPIPS_lpips,0.03247684985399246
Degus,Saturation,1.1,Degus_saturation_1_1.png,SSIM,SSIM_skimage,0.9262315228822239
Degus,Saturation,1.1,Degus_saturation_1_1.png,PSNR,PSNR_skimage,26.439720123042306
Degus,Saturation,1.1,Degus_saturation_1_1.png,UIQI,UIQI_torch,0.9174
Degus,Saturation,1.1,Degus_saturation_1_1.png,VIF,VIF_Torch,0.9742
Degus,Saturation,1.15,Degus_saturation_1_15.png,LPIPS,LPIPS_lpips,0.04617125168442726
Degus,Saturation,1.15,Degus_saturation_1_15.png,SSIM,SSIM_skimage,0.8684561265185152
