image_id,distortion_id,psnr_skimage,psnr_sewar,psnr_manual
01,01,0.201074,0.140309,0.118971
01,02,0.157588,0.123081,0.086673
01,03,0.37571,0.437974,0.265554
01,04,0.032683,0.007284,0.014666
01,05,0.254411,0.192198,0.177385
01,06,0.200607,0.155144,0.120694
01,07,0.277084,0.209345,0.126499
01,08,0.499032,0.649988,0.451317
01,09,0.545041,0.67906,0.41301
01,10,0.49997,0.319426,0.276172
01,11,0.57284,0.692275,0.431898
01,12,0.22728,0.142771,0.10432
01,13,0.214852,0.147117,0.136305
01,14,0.11779,0.072305,0.0468
01,15,0.024241,0.038471,0.018009
01,16,0.031382,0.05076,0.042354
01,17,0.064818,0.091519,0.063137
01,18,0.199627,0.206633,0.176302
01,19,0.186123,0.130244,0.103853
01,20,0.180395,0.078369,0.067394
01,21,0.325303,0.191877,0.156561
01,22,0.405844,0.217189,0.20145
01,23,0.413756,0.64893,0.321052
01,24,0.53745,0.598012,0.362553
02,01,0.280125,0.179358,0.190526
02,02,0.194919,0.107785,0.120163
02,03,0.44488,0.474957,0.273133
02,04,0.06315,0.019147,0.029689
02,05,0.33044,0.246907,0.280531
02,06,0.317289,0.321166,0.222211
02,07,0.306947,0.201695,0.117832
02,08,0.388079,0.399153,0.321771
02,09,0.442103,0.43231,0.304266
02,10,0.466026,0.311375,0.226778
02,11,0.620742,0.686842,0.579603
02,12,0.432153,0.399068,0.214489
02,13,0.253825,0.34852,0.197742
02,14,0.096575,0.054098,0.038046
02,15,0.03117,0.0751,0.023464
02,16,0.06355,0.076952,0.041652
02,17,0.059523,0.081118,0.047298
02,18,0.043831,0.081022,0.038634
02,19,0.214279,0.13947,0.132712
02,20,0.294745,0.167827,0.10099
02,21,0.483814,0.346973,0.291188
02,22,0.488684,0.368151,0.225506
02,23,0.573666,0.609029,0.46067
02,24,0.589735,0.663604,0.46463
03,01,0.392431,0.311737,0.277611
03,02,0.318684,0.242068,0.21237
03,03,0.518377,0.541103,0.400913
03,04,0.102646,0.023409,0.042749
03,05,0.439816,0.395,0.369289
03,06,0.407319,0.362371,0.294432
03,07,0.372874,0.229878,0.198289
03,08,0.358957,0.263395,0.276665
03,09,0.447722,0.374753,0.302378
03,10,0.511789,0.32795,0.296382
03,11,0.677122,0.632713,0.660629
03,12,0.396972,0.307179,0.219939
03,13,0.52141,0.50432,0.415736
03,14,0.093914,0.043862,0.030641
03,15,0.024332,0.045874,0.022639
03,16,0.049827,0.061042,0.045263
03,17,0.085633,0.073012,0.052893
03,18,0.053585,0.07431,0.039263
03,19,0.375683,0.271883,0.25169
03,20,0.395071,0.211906,0.173837
03,21,0.528075,0.399361,0.364834
03,22,0.374662,0.19226,0.199256
03,23,0.523738,0.462755,0.442104
03,24,0.626298,0.618797,0.583342
04,01,0.330083,0.32456,0.254981
04,02,0.252502,0.242175,0.18977
04,03,0.508773,0.613192,0.394606
04,04,0.088118,0.021643,0.057271
04,05,0.392898,0.412893,0.359357
04,06,0.365566,0.348469,0.27884
04,07,0.432538,0.325038,0.245057
04,08,0.353707,0.349889,0.325523
04,09,0.465968,0.49084,0.36096
04,10,0.618386,0.500426,0.436173
04,11,0.723808,0.759839,0.734608
04,12,0.440595,0.373166,0.229145
04,13,0.490624,0.586306,0.371519
04,14,0.10491,0.059938,0.048027
04,15,0.029202,0.061763,0.02502
04,16,0.056177,0.060748,0.055903
04,17,0.074029,0.091761,0.062209
04,18,0.17157,0.215343,0.13739
04,19,0.302359,0.302077,0.234978
04,20,0.397534,0.22724,0.153675
04,21,0.565629,0.531082,0.409218
04,22,0.506886,0.38652,0.297815
04,23,0.644252,0.689321,0.642404
04,24,0.681033,0.806833,0.682334
05,01,0.161796,0.039688,0.116864
05,02,0.108622,0.029904,0.078561
05,03,0.321709,0.179011,0.271351
05,04,0.020645,0.005828,0.01044
05,05,0.231379,0.075016,0.205283
05,06,0.19625,0.072371,0.165616
05,07,0.181749,0.107617,0.102781
05,08,0.412423,0.482735,0.463594
05,09,0.444813,0.418083,0.386404
05,10,0.391049,0.206477,0.280844
05,11,0.334293,0.203163,0.252678
05,12,0.240677,0.108261,0.173849
05,13,0.360782,0.211983,0.29295
05,14,0.099584,0.067799,0.051173
05,15,0.026698,0.043585,0.028185
05,16,0.062873,0.045703,0.053441
05,17,0.059684,0.085107,0.074546
05,18,0.189801,0.208777,0.200482
05,19,0.139704,0.04225,0.105444
05,20,0.179715,0.044912,0.09612
05,21,0.323799,0.126723,0.221321
05,22,0.173963,0.077059,0.111133
05,23,0.118419,0.094035,0.067276
05,24,0.350797,0.235617,0.241216
06,01,0.231688,0.151652,0.126388
06,02,0.168062,0.125752,0.096202
06,03,0.431852,0.434845,0.289823
06,04,0.029718,0.006292,0.012398
06,05,0.291825,0.196756,0.190897
06,06,0.272821,0.223852,0.162035
06,07,0.290408,0.190269,0.125179
06,08,0.450831,0.57291,0.436782
06,09,0.521357,0.659444,0.411274
06,10,0.535817,0.334764,0.322777
06,11,0.567352,0.73812,0.572562
06,12,0.150304,0.059004,0.05376
06,13,0.323044,0.281838,0.191452
06,14,0.097933,0.067631,0.037085
06,15,0.026223,0.040379,0.0183
06,16,0.02855,0.0415,0.038679
06,17,0.066223,0.101747,0.078422
06,18,0.277561,0.210388,0.179738
06,19,0.214948,0.15342,0.109204
06,20,0.2138,0.091129,0.077455
06,21,0.355559,0.205893,0.174762
06,22,0.263549,0.18817,0.156606
06,23,0.436568,0.571483,0.358053
06,24,0.596935,0.63867,0.50042
07,01,0.282905,0.184669,0.239715
07,02,0.205541,0.137723,0.173268
07,03,0.452777,0.400836,0.393063
07,04,0.059203,0.012908,0.029343
07,05,0.35408,0.253523,0.353649
07,06,0.273055,0.198171,0.237881
07,07,0.349059,0.207879,0.152117
07,08,0.354492,0.47675,0.378723
07,09,0.40416,0.377599,0.272247
07,10,0.443549,0.269085,0.228813
07,11,0.568493,0.592139,0.561277
07,12,0.300806,0.235912,0.210366
07,13,0.467123,0.411138,0.357464
07,14,0.087413,0.057267,0.038804
07,15,0.019762,0.058982,0.01662
07,16,0.035291,0.051464,0.038432
07,17,0.068067,0.096225,0.052869
07,18,0.229644,0.216097,0.158813
07,19,0.270964,0.193931,0.231637
07,20,0.348039,0.188197,0.183091
07,21,0.465291,0.330633,0.376048
07,22,0.353531,0.243174,0.19122
07,23,0.358483,0.36833,0.311316
07,24,0.54738,0.512159,0.448444
08,01,0.165384,0.074723,0.094521
